Age,Male_0%_Base,Male_0.5%,Male_1.0%,Male_2.0%,Female_0%_Base,Female_0.5%,Female_1.0%,Female_2.0%
2,0.00096075,0.00095594625,0.0009511425,0.000941535,0.00077775,0.00077386125,0.0007699725,0.000762195
3,0.0004935,0.0004910325,0.000488565,0.00048363000000000003,0.00039949999999999995,0.00039750249999999994,0.00039550499999999993,0.00039150999999999997
4,0.00028455,0.00028312725,0.0002817045,0.000278859,0.00023034999999999996,0.00022919824999999996,0.00022804649999999996,0.00022574299999999996
5,0.00019425,0.00019327875,0.0001923075,0.000190365,0.00015725,0.00015646375,0.0001556775,0.000154105
6,0.0001596,0.00015880200000000002,0.000158004,0.000156408,0.0001292,0.000128554,0.00012790799999999998,0.000126616
7,0.00015645,0.00015566775,0.0001548855,0.00015332100000000002,0.00012665,0.00012601675,0.0001253835,0.00012411699999999998
8,0.00017535,0.00017447325,0.00017359650000000002,0.000171843,0.00014194999999999998,0.00014124024999999997,0.0001405305,0.00013911099999999998
9,0.0002163,0.0002152185,0.00021413699999999999,0.000211974,0.0001751,0.0001742245,0.000173349,0.000171598
10,0.00027825,0.00027685875000000004,0.0002754675,0.000272685,0.00022524999999999997,0.00022412374999999997,0.00022299749999999996,0.00022074499999999997
11,0.00035805,0.00035625975,0.0003544695,0.000350889,0.00028984999999999997,0.00028840074999999995,0.0002869515,0.000284053
12,0.00045045,0.00044819775000000004,0.0004459455,0.000441441,0.00036465,0.00036282675,0.0003610035,0.000357357
13,0.0005481,0.0005453595,0.000542619,0.000537138,0.0004437,0.0004414815,0.000439263,0.000434826
14,0.0006447,0.0006414765,0.000638253,0.000631806,0.0005219,0.0005192904999999999,0.000516681,0.000511462
15,0.0007329000000000001,0.0007292355000000001,0.000725571,0.0007182420000000001,0.0005933000000000001,0.0005903335,0.0005873670000000001,0.000581434
16,0.0008085,0.0008044575,0.000800415,0.0007923299999999999,0.0006544999999999999,0.0006512274999999999,0.0006479549999999999,0.0006414099999999999
17,0.00087045,0.0008660977500000001,0.0008617455000000001,0.000853041,0.0007046499999999999,0.0007011267499999999,0.0006976034999999999,0.000690557
18,0.0009177,0.0009131115,0.0009085230000000001,0.000899346,0.0007429,0.0007391855,0.000735471,0.000728042
19,0.00095025,0.0009454987500000001,0.0009407475,0.000931245,0.00076925,0.0007654037499999999,0.0007615575,0.0007538649999999999
20,0.0009702000000000001,0.000965349,0.0009604980000000001,0.0009507960000000001,0.0007854,0.000781473,0.000777546,0.000769692
21,0.0009807000000000001,0.0009757965000000002,0.0009708930000000001,0.0009610860000000001,0.0007939,0.0007899305000000001,0.0007859610000000001,0.0007780220000000001
22,0.00098385,0.00097893075,0.0009740115000000001,0.000964173,0.00079645,0.00079246775,0.0007884855,0.000780521
23,0.0009828,0.000977886,0.000972972,0.000963144,0.0007955999999999999,0.000791622,0.0007876439999999999,0.000779688
24,0.00097965,0.0009747517500000001,0.0009698535000000001,0.0009600570000000001,0.00079305,0.00078908475,0.0007851195,0.000777189
25,0.00097755,0.00097266225,0.0009677745,0.000957999,0.0007913499999999999,0.0007873932499999999,0.0007834364999999999,0.0007755229999999999
26,0.00097755,0.00097266225,0.0009677745,0.000957999,0.0007913499999999999,0.0007873932499999999,0.0007834364999999999,0.0007755229999999999
27,0.0009807000000000001,0.0009757965000000002,0.0009708930000000001,0.0009610860000000001,0.0007939,0.0007899305000000001,0.0007859610000000001,0.0007780220000000001
28,0.0009891000000000001,0.0009841545,0.0009792090000000002,0.0009693180000000002,0.0008007,0.0007966965,0.000792693,0.0007846859999999999
29,0.0010038,0.000998781,0.000993762,0.000983724,0.0008126,0.000808537,0.000804474,0.000796348
30,0.00102585,0.00102072075,0.0010155915,0.001005333,0.0008304499999999999,0.00082629775,0.0008221454999999999,0.0008138409999999999
31,0.00105525,0.0010499737499999999,0.0010446975,0.001034145,0.00085425,0.00084997875,0.0008457075,0.000837165
32,0.0010941,0.0010886295,0.001083159,0.001072218,0.0008856999999999999,0.0008812714999999999,0.0008768429999999999,0.0008679859999999998
33,0.0011403,0.0011345984999999999,0.0011288969999999998,0.001117494,0.0009230999999999999,0.0009184845,0.0009138689999999999,0.0009046379999999999
34,0.001197,0.001191015,0.00118503,0.0011730599999999999,0.0009689999999999999,0.000964155,0.0009593099999999999,0.0009496199999999999
35,0.0012621,0.0012557895,0.001249479,0.001236858,0.0010217,0.0010165915,0.0010114829999999999,0.001001266
36,0.00133875,0.0013320562500000002,0.0013253625,0.0013119750000000002,0.00108375,0.0010783312500000002,0.0010729125,0.001062075
37,0.0014259000000000001,0.0014187705000000001,0.0014116410000000002,0.0013973820000000002,0.0011543,0.0011485285,0.001142757,0.001131214
